uuid,ceilingcatname,ceilingcatnumber,timestamp
fc612ca1-56cf-4b67-9028-18a1ff8ae337,Amanda,1,2019-03-28T17:01:30+0000
e336e9c4-dc74-49f2-8900-85d86bd7dd14,Oreo,2,2019-03-28T17:01:30+0000
